Year,Champ,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G1HomeWin,Oppo,OppoPTS,Diff,HomeWin,HomeChamp,History,HomePTS,GuestPTS,TotalPTS,HomeGuestDiff,SeriesLastGame
1980,Lakers,1,1,1,240,48,89,0.539,0,0,,13,15,0.867,12,31,43,30,5,9,17,24,109,TRUE,Sixers,102,7,TRUE,TRUE,w,109,102,211,7,FALSE
1980,Lakers,2,0,1,240,48,95,0.505,0,1,0,8,12,0.667,15,37,52,32,12,7,26,27,104,FALSE,Sixers,107,-3,FALSE,TRUE,wl,104,107,211,-3,FALSE
1980,Lakers,3,1,0,240,44,92,0.478,0,1,0,23,30,0.767,22,34,56,20,5,5,20,25,111,FALSE,Sixers,101,-10,FALSE,TRUE,wlw,111,101,212,10,FALSE
1980,Lakers,4,0,0,240,44,93,0.473,0,0,0,14,19,0.737,18,31,49,23,12,6,19,22,102,FALSE,Sixers,105,3,TRUE,TRUE,wlwl,102,105,207,-3,FALSE
1980,Lakers,5,1,1,240,41,91,0.451,0,0,0,26,33,0.788,19,37,56,28,7,6,21,27,108,FALSE,Sixers,103,5,TRUE,TRUE,wlwlw,108,103,211,5,FALSE
1980,Lakers,6,1,0,240,45,92,0.489,0,2,0,33,35,0.943,17,35,52,27,14,4,17,22,123,FALSE,Sixers,107,-16,FALSE,TRUE,wlwlww,123,107,230,16,TRUE
1981,Celtics,1,1,1,240,41,95,0.432,0,1,0,16,20,0.8,25,29,54,23,6,5,19,21,98,TRUE,Rockets,95,3,TRUE,TRUE,w,98,95,193,3,FALSE
1981,Celtics,2,0,1,240,41,82,0.5,0,3,0,8,13,0.615,14,34,48,17,6,7,22,27,90,FALSE,Rockets,92,-2,FALSE,TRUE,wl,90,92,182,-2,FALSE
1981,Celtics,3,1,0,240,40,89,0.449,2,3,0.667,12,19,0.632,16,28,44,24,12,6,11,25,94,FALSE,Rockets,71,-23,FALSE,TRUE,wlw,94,71,165,23,FALSE
1981,Celtics,4,0,0,240,35,74,0.473,0,3,0,16,24,0.667,17,30,47,22,5,6,22,22,86,FALSE,Rockets,91,5,TRUE,TRUE,wlwl,86,91,177,-5,FALSE
1981,Celtics,5,1,1,240,41,94,0.436,0,3,0,27,35,0.771,19,35,54,25,5,8,14,23,109,FALSE,Rockets,80,29,TRUE,TRUE,wlwlw,109,80,189,29,FALSE
